time,log_infected,log_hospitalized,log_icu,log_death,log_vaccinated
112.0,2.7860624843088244,3.1792644643390253,2.718501688867274,3.8986926446161134,0.0
113.0,2.7592083673813144,3.1687920203141817,2.6893088591236203,3.901609423391977,0.0
114.0,2.7562824577225924,3.1222158782728267,2.6570558528571038,3.904463456010903,0.0
115.0,2.7626327906841475,3.098643725817057,2.6570558528571038,3.907291955867747,0.0
116.0,2.7558677207729803,3.081707270097349,2.6464037262230695,3.909970951446431,0.0
117.0,2.725687853117832,3.0346284566253203,2.6424645202421213,3.9123496985283777,0.0
118.0,2.6779005330348458,3.024074987307426,2.6384892569546374,3.9143691316710556,0.0
119.0,2.633371722825926,3.015778756389041,2.6263403673750423,3.9161468956222842,0.0
120.0,2.6215405222624284,3.0115704435972783,2.6127838567197355,3.917932797867572,0.0
121.0,2.651533740992189,3.017450729510536,2.6009728956867484,3.919930844309489,0.0
122.0,2.694611102742318,2.989004615698537,2.5774917998372255,3.922139590043262,0.0
123.0,2.7151714301418974,2.9585638832219674,2.5599066250361124,3.9243674391083783,0.0
124.0,2.6948601013420115,2.9809119377768436,2.5490032620257876,3.9263830010366445,0.0
125.0,2.63497769052813,2.9489017609702137,2.56702636615906,3.928035011037918,0.0
126.0,2.5519969329549905,2.9400181550076634,2.5599066250361124,3.929302859873524,0.0
127.0,2.4857045132814863,2.9237619608287004,2.552668216112193,3.9303204512778867,0.0
128.0,2.4780056716547274,2.8651039746411278,2.558708570533166,3.931303495995693,0.0
129.0,2.517637728362063,2.829303772831025,2.561101383649056,3.9324037436167067,0.0
130.0,2.560548971846389,2.833147111912785,2.5390760987927767,3.933664178016425,0.0
131.0,2.5814398602939383,2.8027737252919755,2.530199698203082,3.935030138053956,0.0
132.0,2.578295683323456,2.7902851640332416,2.5224442335063197,3.936410400740147,0.0
133.0,2.557887315550236,2.788875115775417,2.525044807036845,3.9377213535471753,0.0
134.0,2.535989830490765,2.787460474518415,2.515873843711679,3.9389311642674603,0.0
135.0,2.530832914042932,2.7944880466591697,2.514547752660286,3.940045239238277,0.0
136.0,2.541355239015104,2.7788744720027396,2.505149978319906,3.941060784360062,0.0
137.0,2.5450474966164145,2.7535830588929064,2.510545010206612,3.941946164769731,0.0
138.0,2.524666624896174,2.725094521081469,2.4800069429571505,3.9426807658907608,0.0
139.0,2.487420579718195,2.7520484478194387,2.4955443375464483,3.94329093476809,0.0
140.0,2.4691460102966443,2.7442929831226763,2.4742162640762553,3.943854261251016,0.0
141.0,2.5201014051867117,2.7671558660821804,2.4653828514484184,3.944475044646002,0.0
142.0,2.631056759188662,2.7745169657285498,2.4456042032735974,3.9452198703220107,0.0
143.0,2.7431791228060205,2.8041394323353503,2.4471580313422194,3.946058556765122,0.0
144.0,2.820298060073075,2.79309160017658,2.406540180433955,3.946897239589881,0.0
145.0,2.8530517786040166,2.816241299991783,2.4082399653118496,3.947636190283792,0.0
146.0,2.843975715830822,2.816241299991783,2.423245873936808,3.948223118784892,0.0
147.0,2.8018370272972444,2.8228216453031045,2.4183012913197452,3.9486822144668547,0.0
148.0,2.7456873908546116,2.8109042806687006,2.3944516808262164,3.949100167721568,0.0
149.0,2.7010153082714314,2.816241299991783,2.406540180433955,3.9495709594814605,0.0
150.0,2.6812300231543236,2.8055008581584002,2.3961993470957363,3.950131531182066,0.0
151.0,2.678166501179631,2.8109042806687006,2.392696953259666,3.9507442697744293,0.0
152.0,2.6731141940913545,2.816241299991783,2.404833716619938,3.9513384231995907,0.0
153.0,2.655075770049583,2.812244696800369,2.392696953259666,3.951860726580945,0.0
154.0,2.625057149102039,2.791690649020118,2.404833716619938,3.952303152911997,0.0
155.0,2.6016859912494787,2.7745169657285498,2.3979400086720375,3.9527021988028763,0.0
156.0,2.602044395331042,2.7831886910752575,2.3783979009481375,3.9531010700548657,0.0
157.0,2.6154846359883024,2.7671558660821804,2.374748346010104,3.9535140832262257,0.0
158.0,2.6217456395878522,2.745855195173729,2.3961993470957363,3.9539220023201964,0.0
159.0,2.60891814220692,2.7267272090265724,2.428134794028789,3.954297835749964,0.0
160.0,2.5752602313705895,2.718501688867274,2.413299764081252,3.95463004504863,0.0
161.0,2.532865757918346,2.718501688867274,2.4082399653118496,3.9549383457861755,0.0
162.0,2.5100870784712828,2.718501688867274,2.41161970596323,3.955262312008639,0.0
163.0,2.523213716841174,2.7067177823367587,2.419955748489758,3.9556290877464115,0.0
164.0,2.5525439990062866,2.6981005456233897,2.4183012913197452,3.9560316267707414,0.0
165.0,2.57152375601052,2.7283537820212285,2.41161970596323,3.956434474921168,0.0
166.0,2.5674378680731564,2.718501688867274,2.4313637641589874,3.956793923312562,0.0
167.0,2.5430760617232853,2.699837725867246,2.428134794028789,3.957081629218826,0.0
168.0,2.517199191999302,2.711807229041191,2.416640507338281,3.95729879870909,0.0
169.0,2.520083566118585,2.7134905430939424,2.3820170425748683,3.9574721808192557,0.0
170.0,2.5633296719652736,2.718501688867274,2.376576957056512,3.957632583649711,0.0
171.0,2.6201329020290345,2.7234556720351857,2.357934847000454,3.957795364102535,0.0
172.0,2.661656451116898,2.7363965022766426,2.361727836017593,3.9579569047071614,0.0
173.0,2.6750275882014027,2.7671558660821804,2.3710678622717363,3.958104545798636,0.0
174.0,2.6626198840886754,2.791690649020118,2.359835482339888,3.958232321582315,0.0
175.0,2.6406923155950883,2.7972675408307164,2.3654879848909,3.9583527748580924,0.0
176.0,2.640442515924518,2.8095597146352675,2.346352974450639,3.9584958327603768,0.0
177.0,2.6783667162676177,2.8228216453031045,2.3521825181113627,3.9586887733248,0.0
178.0,2.732143654407474,2.8369567370595505,2.3636119798921444,3.9589345737009807,0.0
179.0,2.7727712903476727,2.8356905714924254,2.359835482339888,3.959210176446585,0.0
180.0,2.7872727784732443,2.821513528404773,2.3541084391474008,3.9594789926269063,0.0
181.0,2.7781544712568254,2.8254261177678233,2.357934847000454,3.9597120899936726,0.0
182.0,2.7611010101590647,2.8419848045901137,2.3443922736851106,3.9599082057796675,0.0
183.0,2.7621629775378134,2.826722520168992,2.357934847000454,3.9600900083171617,0.0
184.0,2.7930898133720086,2.8369567370595505,2.3636119798921444,3.960276876002591,0.0
185.0,2.83512948855912,2.8407332346118066,2.376576957056512,3.9604748211300707,0.0
186.0,2.8660854789531585,2.8555191556678,2.367355921026019,3.960679233955987,0.0
187.0,2.874955247169925,2.869818207979328,2.3909351071033793,3.960884406200748,0.0
188.0,2.864488895612227,2.8709888137605755,2.3909351071033793,3.961087045487405,0.0
189.0,2.8510239786266065,2.8651039746411278,2.3541084391474008,3.9612981496111535,0.0
190.0,2.859714498099459,2.88930170250631,2.357934847000454,3.9615489097997187,0.0
191.0,2.897800537748592,2.8870543780509568,2.3820170425748683,3.9618652424989165,0.0
192.0,2.9416657961149135,2.91539983521227,2.374748346010104,3.962242843930148,0.0
193.0,2.968582829293834,2.90687353472207,2.383815365980431,3.962646799877323,0.0
194.0,2.96990775844152,2.90687353472207,2.3891660843645326,3.963026457926274,0.0
195.0,2.953025961334502,2.916453948549925,2.3909351071033793,3.963338487400533,0.0
196.0,2.9400991105326097,2.92272545799326,2.3710678622717363,3.963579222864959,0.0
197.0,2.9586601137998447,2.909020854211156,2.357934847000454,3.963787913678173,0.0
198.0,3.0079300629733603,2.930949031167523,2.3483048630481607,3.9640072600449505,0.0
199.0,3.0581445421312115,2.9111576087399764,2.3521825181113627,3.9642567614779427,0.0
200.0,3.088190609401705,2.9278834103307068,2.3483048630481607,3.9645286177005805,0.0
201.0,3.0921086985354593,2.9449759084120477,2.3404441148401185,3.964799935982388,0.0
202.0,3.076666049741177,2.951823035315912,2.359835482339888,3.965048620512688,0.0
203.0,3.061090960334537,2.9410142437055695,2.3636119798921444,3.9652673952829574,0.0
204.0,3.0703802149037416,2.9508514588885464,2.357934847000454,3.965475720271807,0.0
205.0,3.1076841132408606,2.9508514588885464,2.369215857410143,3.965702953702188,0.0
206.0,3.148302441898081,2.9614210940664485,2.3443922736851106,3.9659665172227685,0.0
207.0,3.1708404319034673,2.9489017609702137,2.369215857410143,3.9662632947567253,0.0
208.0,3.1662829696032677,2.9469432706978256,2.374748346010104,3.966570138854614,0.0
209.0,3.1381833441663156,2.9439888750737717,2.376576957056512,3.9668541874934475,0.0
210.0,3.1037524509245125,2.9508514588885464,2.374748346010104,3.9670945065083996,0.0
211.0,3.0892475627546556,2.9400181550076634,2.369215857410143,3.9672914066736884,0.0
212.0,3.1039063357898073,2.930949031167523,2.3783979009481375,3.9674603084562814,0.0
213.0,3.127391318644069,2.91539983521227,2.392696953259666,3.9676164271714796,0.0
214.0,3.138290437065183,2.9003671286564705,2.41161970596323,3.9677666834003773,0.0
215.0,3.1257497756677615,2.8981764834976764,2.429752280002408,3.967918315705319,0.0
216.0,3.0902539217979417,2.8836614351536176,2.428134794028789,3.9680860692267887,0.0
217.0,3.0467531493034397,2.8709888137605755,2.4456042032735974,3.9682851678094377,0.0
218.0,3.025600391143777,2.8756399370041685,2.4683473304121573,3.968523772074899,0.0
219.0,3.04330215819981,2.8651039746411278,2.4727564493172123,3.9687929959338537,0.0
220.0,3.0793100206691855,2.8767949762007006,2.4800069429571505,3.969063277488947,0.0
221.0,3.1083628424223435,2.8767949762007006,2.4955443375464483,3.969300149013743,0.0
222.0,3.1171930460241857,2.869818207979328,2.513217600067939,3.9694854578948977,0.0
223.0,3.106429004689972,2.8779469516291885,2.5490032620257876,3.969624337438906,0.0
224.0,3.089011378133995,2.9003671286564705,2.5477747053878224,3.9697389638910376,0.0
225.0,3.0868696563742706,2.9079485216122722,2.5514499979728753,3.9698573627864038,0.0
226.0,3.1092018268095574,2.909020854211156,2.5599066250361124,3.9699987540795396,0.0
227.0,3.139685267452466,2.9079485216122722,2.5728716022004803,3.9701617468904615,0.0
228.0,3.159792886779493,2.931966114728173,2.606381365110605,3.9703332224216146,0.0
229.0,3.162073508461223,2.9489017609702137,2.6283889300503116,3.9705040618718774,0.0
230.0,3.1506592206528774,2.952792443044092,2.6503075231319366,3.970676602666713,0.0
